Comorbidities,Enhanced ICD-9-CM
Congestive heart failure ,"398.91, 402.01, 402.11.
402.91, 404.01, 404.03,
404.11, 404.13, 404.91,
404.93, 425.4-425.9, 428.x"
Cardiac arrhythmias ,"426.0, 426.13, 426.7,
426.9, 426.10, 426.12,
427.0-427.4, 427.6-427.9,
785.0, 996.01, 996.04,
V45.0, V53.3"
Valvular disease,"093.2, 394.x-397.x, 424.x,
746.3-746.6, V42.2, V43.3"
"Pulmonary circulation
Disorders","415.0, 415.1, 416.x, 417.0,
417.8, 417.9"
Peripheral vascular disorders,"093.0, 437.3, 440.x, 441.x,
443.1-443.9, 447.1, 557.1
557.9, V43.4"
"Hypertension, uncomplicated",401.x
"Hypertension, complicated",402.x-405.x
Paralysis,"334.1, 342.x, 343.x, 344.0-
344.6, 344.9"
Other neurological disorders ,"331.9, 332.0, 332.1, 333.4,
333.5, 333.92, 334.x-
335.x, 336.2, 340.x, 341.x,
345.x, 348.1, 348.3, 780.3,
784.3"
Chronic pulmonary disease ,"416.8, 416.9, 490.x-505.x,
506.4, 508.1, 508.8"
"Diabetes, uncomplicated ",250.0-250.3
"Diabetes, complicated",250.4-250.9
Hypothyroidism ,"240.9, 243.x, 244.x, 246.1,
246.8"
Renal failure,"403.01, 403.11, 403.91,
404.02, 404.03, 404.12,
404.13, 404.92, 404.93,
585.x, 586.x, 588.0, V42.0,
V45.1, V56.x"
Liver disease,"070.22, 070.23, 070.32,
070.33, 070.44, 070.54,
070.6, 070.9, 456.0-456.2,
570.x, 571.x, 572.2-572.8,
573.3, 573.4, 573.8,573.9,
V42.7"
"Peptic ulcer disease
excluding bleeding","531.7, 531.9, 532.7, 532.9,
533.7, 533.9, 534.7, 534.9"
AIDS/H1V ,042.x-044.x
Lymphoma ,"200.x-202.x, 203.0, 238.6"
Metastatic cancer ,196.x-199.x
"Solid tumor without
Metastasis","140.x-172.x,
174.x-195.x"
"Rheumatoid arthritis/
collagen vascular diseases","446.x, 701.0, 710.0-710.4,
710.8, 710.9, 711.2, 714.x,
719.3, 720.x, 725.x, 728.5,
728.89, 729.30"
Coagulopathy ,"286.x, 287.1, 287.3-287.5"
Obesity ,278
Weight loss,"260.x-263.x, 783.2, 799.4"
"Fluid and electrolyte
Disorders","253.6, 276.x"
Blood loss anemia,280
Deficiency anemia,"280.1-280.9, 281.x"
Alcohol abuse ,"265.2, 291.1-291.3,
291.5-291.9, 303.0,
303.9, 305.0, 357.5,
425.5, 535.3,
571.0-571.3, 980.x,
V11.3"
Drug abuse,"292.x, 304.x, 305.2-305.9,
V65.42"
Psychoses,"293.8, 295.x, 296.04, 296.14,
296.44, 296.54, 297.x,
298.x"
Depression,"296.2, 296.3, 296.5, 300.4,
309.x, 311"
